Word,Mean
revenez,regresar
vieil,antiguo
walter,Walter
servi,servido
arrivés,llegado
lève,encuesta
voleur,ladrón
côtés,lado
chris,Chris
note,Nota
préféré,prefiere
couché,mintiendo
milliers,miles
aéroport,aeropuerto
prévenir,prevenir
château,castillo
apparemment,aparentemente
gardez,Mantener
privé,privado
détails,detalles
larry,Larry
direct,directo
reposer,descansar
commande,ordenado
cherchez,Mira
fer,planchar
conduit,conducto
conscience,conciencia
oreilles,orejas
conversation,conversación
regardes,Mira
joues,desempeñar
ennemis,enemigos
attendent,Espere
article,artículo
dieux,Dioses
talent,talento
aise,fácil
poulet,pollo
passée,pasado
comprend,comprender
gorge,garganta
feras,hacer
tribunal,tribunal
découvrir,descubrir
agréable,agradable
jette,lanzar
test,prueba
emmerde,falta
détruit,destruir
nerveux,nervioso
saint,Santo
marrant,gracioso
joindre,unirse
sentiment,sentimiento
lance,lanza
humaine,humano
acte,escritura
jane,jane
pis,peor
enculé,follado
tuée,delicado
saura,sabrá
doigt,dedo
pourrez,pueden
passera,pasará
horreur,horror
comptes,cuentas
dernières,más reciente
violence,violencia
fumer,fumar
invités,huéspedes
parlais,medir
job,trabajo
salon,sala de estar
défendre,defender
mariés,casado
rock,roca
apporter,traer
coupé,Corte
repos,descansar
paquet,paquete
page,página
utilise,usó
victimes,víctimas
sage,salvia
aidé,Ayuda
intelligent,inteligente
ombre,sombra
vache,vaca
désert,Desierto
forêt,bosque
parfaite,Perfecto
tombée,otoño
extérieur,exterior
entré,Entre
série,serie
concerne,preocupado
paroles,letra
dira,diría
it,eso
champion,campeón
fbi,FBI
lundi,Lunes
moteur,motor
ouverte,abrió
mince,delgada
al,Alabama
russe,ruso
grandi,creciendo
rappelles,recuerdo
dormi,dormir
ordinateur,computadora
in,en
angeles,Ángeles
accepté,aceptado
désormais,de aquí en adelante
acteur,actor
membres,miembros
trouvée,fundar
pete,pete
surpris,sorprendido
miracle,milagro
vole,Volar
manquer,faltar
franchement,francamente
apprécie,valorar
cigarette,cigarrillo
chemise,camisa
mark,Marcos
tente,intentó
faisant,haciendo
billet,boleto
reculez,retirada
moyens,medio
importante,importante
unité,unidad
champagne,champán
pensait,pensamiento
www,www
partager,"compartir, repartir"
smith,Herrero
minuit,doce de la noche
américaine,Americana
courses,Razas
puissance,potencia
william,William
nombreux,numeroso
réparer,reparar
caché,oculto
haute,alto
sommeil,dormir
essence,esencia
riches,rico
lac,lago
maire,alcalde
mode,Moda
vingt,veinte
reviendra,Volverá
pousse,crecimiento
amusant,divertida
passez,pasar
services,servicios
doc,doc
rues,calles
of,de
risques,riesgos
émission,emisión
leçon,lección
annonce,anuncio
plans,planes
usine,fábrica
louis,Louis
imaginer,imaginar
chauffeur,conductor
marque,Marca
parc,Parque
épée,espada
fesses,nalgas
échange,intercambio
souvenirs,recuerdos
créer,crear
senti,sintió
signer,señal
artiste,artista
jeté,yo te
réveiller,despertarse
hiver,invierno
également,además
hum,tararear
souffle,aliento
vrais,real
arbres,árboles
saute,saltó
fuir,huir
meme,mismo
battu,vencido
permission,permiso
casser,romper
chicago,Chicago
allemands,Alemanes
utilisé,usó
mentir,mentir
souci,preocuparse
é,mi
coûte,costo
paye,pagado
tres,muy
offert,Libre
sir,señor
no,no
chair,carne
caisse,caja
supplie,suministrar
dégagez,liberar
raconté,relata
andy,Andy
lunettes,los anteojos
chouette,búho
menteur,mentiroso
trouvera,encontrará
semblant,apariencia
ignorais,ignorante
perdue,perdió
whisky,whisky
rentrez,regresar
premiers,primero
pantalon,pantalones
menace,amenazar
racontes,contado
douche,ducha
oiseaux,pájaros
finie,finalizar
auront,tendrá
débarrasser,librar
membre,miembro
perte,pérdida
verrez,veremos
front,frente
lèvres,labios
mai,mayo
fac,colega
allo,hola
connaissais,supo
gouverneur,gobernador
monnaie,cambio
chou,repollo
achète,comprado
thomas,Thomas
secrétaire,secretaria
montré,Reloj
jones,Jones
écris,escribió
parlent,hablar
chaise,silla
herbe,césped
créé,creado
manteau,Saco
chocolat,chocolate
pause,pausa
côte,costa
abandonner,abandonar
policier,policía
patient,paciente
dave,dave
études,estudios
ballon,pelota 
mène,dirigió
respire,aliento
mouvement,movimienot
suicide,suicidio
japonais,japonés
accès,acceso
tienne,tuya
laisserai,se ira
poupée,muñeca
innocent,inocente
allés,paseos
identité,identificar
véritable,verdadero
simon,Simón
devenue,convertirse en
totalement,totalmente
piège,trampa
gloire,gloria
pourraient,pudo
abri,refugio
explique,Explique
rapidement,rápidamente
fonctionne,obras
boy,chico
foule,multitud
pensées,pensamientos
maisons,casas
fantôme,fantasma
source,fuente
lancer,lanzar
suit,seguimiento
changement,cambio
choc,choque
veste,chaqueta
attaquer,atacar
faveur,favor
oreille,oído
touchez,tocar
malheureusement,desgraciadamente
soudain,de repente
tués,eres
bref,Corto
malheur,desgracia
portable,portátil
chaleur,calor
mensonge,mintiendo
répondez,responder
heureusement,por suerte
emploi,usar
lois,leyes
nettoyer,Limpiar
attrape,capturado
geste,gesto
verrai,veremos
notes,notas
plat,plato
etait,estaba
corde,cuerda
sacrée,sagrado
cherches,buscando
siècle,siglo
etat,estado
distance,distancia
refusé,rechazar
mars,marzo
saison,temporada
bel,hermoso
monté,montado
idiote,estúpido
recherches,investigar
alerte,alerta
ennuie,aburrido
christ,Cristo
remonte,rastreado
plaisante,agradable
city,Ciudad
bat,murciélago
images,imágenes
voulaient,querido
titres,valores
alice,Alicia
couverture,cubrir
moments,momentos
big,grande
mesure,medida
atteindre,alcanzar
singe,mono
pistolet,pistola
frontière,borde
réel,real
réfléchi,reflexivo
somme,suma
agents,agentes
ours,llevar
prisonniers,prisioneros
évidemment,obviamente
afrique,África
allemand,Alemán
dan,dan
couche,capa
relations,relaciones
texas,Texas
delà,de la
celles,esas
navire,buque
deviens,convertirse en
bite,polla
laisses,abandonar
dirige,dirigido
partenaire,pareja
aube,Alba
demi,mitad
affreux,horrible
camarade,camarada
street,calle
inquiéter,preocuparse
tableau,imagen
fatiguée,cansado
entreprise,empresa
demandes,peticiones
nana,chica
re,D
coincé,atascado
tenu,tenue
viré,encendido
suspect,sospechoso
reconnais,reconocer
ressens,sentimiento
juif,judío
directement,directamente
mexique,México
cherché,buscar
marine,Marina
prisonnier,prisionero
finit,acabado
howard,Howard
étoile,estrella
jean,Pantalones
convaincre,convencer
filer,girar
kevin,Kevin
bosse,bulto
pousser,para empujar 
protection,proteccion
signé,signo
crier,gritar
rêvé,sueño
respirer,respirar
propriétaire,dueño
prêtre,sacerdote
donnes,portón
taire,Para silenciar
permettre,permitir
prudent,Cuidado
carl,carl
commis,empleado
chaîne,cadena
copains,amigos
sec,seco
cauchemar,pesadilla
laver,lavar
hollywood,Hollywood
jeff,Jeff
réfléchis,reflejado
trompe,engañado
hais,cría
immeuble,edificio
supporter,apoyo
soi,uno mismo
bagages,equipaje
tir,Disparo
traverser,atravesar
commissaire,notario
mac,Mac
donnerai,daré
reviendrai,Volverá
larmes,lágrimas
déranger,molestar
Arthur,Arturo
pigé,cerdo
réserve,Reservar
adam,Adán
volant,volador
uniforme,uniforme
st,S t
croient,creer
différents,diferentes
souffrir,sufrir
maudit,maldita sea
valise,maleta
prendrai,tomará
assurance,seguro
abandonné,abandonado
dames,señoras
lendemain,al día siguiente
navré,desconsolado
prennent,toma
sénateur,senador
roule,arrollado
montagnes,montañas
lapin,Conejo
juifs,Judíos
amuse,divertido
espérais,esperado
fleur,flor
merveilleuse,maravilloso
tournée,recorrido
scott,escocés
information,información
foyer,casa
tourné,transformado
personnage,personaje
permettez,Permitir
amitié,amistad
hâte,apuro
opinion,opinión
curieux,curioso
concert,concierto
enfance,infancia
extraordinaire,extraordinario
davantage,más lejos
saviez,supo
chargé,cargado
porc,Cerdo
recommence,empezar de nuevo
chèque,controlar
piano,piano
jouez,desempeñar
océan,Oceano
ayant,tener
go,Vamos
pattes,patas
ravie,apretado
trace,rastro
réveillé,despierta
miles,millas
soupe,sopa
sucre,azúcar
écoutes,escuchar
vierge,virgen
mauvaises,malo
objet,objeto
adorable,adorable
chine,Porcelana
sonne,sonido
envoyez,enviar
réputation,reputación
kate,Kate
sport,deporte
brave,Bravo
lieux,instalaciones
brûle,quemar
russes,ruso
murs,paredes
second,segundo
etes,son
facilement,fácilmente
troupes,tropas
titrage,valoración
canon,cañón
bague,Anillo
bâtiment,Edificio
seraient,sería
cellule,célula
Susan,Susan
survivre,para sobrevivir
trouverai,encontrará
printemps,primavera
voisins,vecinos
nuits,noches
chances,posibilidades
contrôler,controlar
compliqué,Complicado
voyais,sierra
retirer,retirar
ancienne,Antiguo
théorie,teoría
avancez,Ventaja
studio,estudio
exploser,explotar
explosion,explosión
fiancée,novia
évident,obvio
gardé,mantuvo
accusé,acusado
Annie,Annie
témoins,testigos
désir,deseo
humanité,humanidad
amen,Amén
magie,magia
restera,permanecerá
palais,palacio
cirque,circo
cinglé,loca
conduis,impulsado
sales,sucio
traces,rastros
station,estación
construire,para construir
joey,Joey
siège,sede
Kelly,Kelly
semblait,pareció
vivants,vivientes
voient,ver
représente,representado
sombre,oscuro
lourd,pesado 
lá,la
familles,familias
égal,igual
surveille,vigilancia
terme,término
gêne,malestar
poule,pollo
pére,papá
devraient,debería
soif,sed
haine,odio
Rachel,Rachel
Jason,Jasón
surveiller,vigilar
ted,ted
marin,marina
procureur,fiscal
traité,tratado
vivent,En Vivo
chansons,canciones
souvenez,recuerda
entière,entero
résultat,resultados
préparé,preparar
top,parte superior
enchantée,Encantada
gardien,guardián
traite,tratado
avancer,avanzar
commun,común
pêche,melocotón
tien,tuya
posé,establecido
libérer,liberar
gamins,niños
taule,celda
retournez,devolver
médicaments,medicamentos
matériel,material
crâne,cráneo
région,región
débile,tonto
science,Ciencias
délicieux,delicioso
privée,privado
créature,criatura
ho,Ho
ed,Edición
king,Rey
liquide,líquido
réglé,regla
gay,gay
apprend,aprender
quant,en cuanto a
péché,melocotón
répéter,repetir
auprès,con
tâche,Mancha
devine,adivinar
mener,realizar
vente,rebaja
plu,disfruté
joueur,jugador
modèle,modelo
aurons,tendrá
up,arriba
mensonges,mentiras
fermez,cerca
traiter,tratar
secteur,sector
soyons,seamos
barre,cerrada
appelée,llamó
projets,proyectos
roman,novela
veille,apoyar
étudier,para estudiar
tenue,vestimenta
physique,físico
passait,pasó
concours,competencia
jaune,amarillo
inconnu,desconocido
victor,Víctor
vision,visión
black,negro
lentement,Lentamente
surface,superficie
dick,polla
com,comunicarse
matt,mate
kilomètres,kilómetros
baise,Mierda
x,X
sers,atender
abandonne,abandonado
vivante,dinámico
spéciale,especial
prof,profesor
poissons,Piscis
bosser,trabajar
cherchais,buscado
my,mi
empire,imperio
cigarettes,cigarrillos
amies,amigos
aventure,aventura
responsabilité,responsabilidad
sauve,Seguro
devrions,debería
lucy,Lucy
atteint,logrado
infirmière,enfermera
humeur,estado animico
descendez,Bajar
résultats,resultados
tenté,tienda
baisse,disminuir
mn,Minnesota
rare,extraño
empreintes,huellas digitales
proches,parientes
sauvage,salvaje
virer,fuego
fumée,fumar
lisa,Lisa
engagé,compromete
romantique,romántico
cloche,Campana
brian,brio
magique,mágico
chers,Querido
comité,comité
choisis,elegir
voila,listo
jaloux,celoso
divorce,divorcio
lord,caballero
données,datos
détective,detective
rouges,rojo
fred,Fred
ambulance,ambulancia
rentrée,De vuelta a la escuela
port,Puerto
anne,Ana
roy,roy
cochon,cerdo
enfuir,Escapar
devra,tendrá que
francisco,Francisco
ménage,tareas del hogar
roger,Roger
particulier,especial
journaliste,periodista
croix,cruz
pareille,probable
royaume,Reino
disparaître,desaparecer
jus,zumo
comte,condado
sainte,santo
soucis,preocuparse
allemagne,Alemania
patience,paciencia
fallu,búho
net,red
suivez,seguir
panique,pánico
q,Q
morceaux,partes
construit,construido
crédit,crédito
rater,fallar
normale,normal
attendait,estaba esperando
bye,adiós
fromage,queso
embrasse,Beso
complet,completo
bouffe,alimento
boutique,tienda
seriez,sería
recommencer,reiniciar
scénario,guion
jeudi,jueves
endroits,ubicación
brûler,quemar
nommé,fijado
mardi,martes
hall,vestíbulo
réalisé,comprendió
terry,Terry
passion,pasión
enlevé,remoto
profond,profundo
télévision,televisión
abruti,engañar
réussir,lograr
répond,responder
red,rojo
emmené,tomado
cadeaux,regalos
remonter,volver a subir
accompagner,para acompañar
johnson,Johnson
différente,diferente
tromper,engañar
pot,frasco
lien,Enlace
serpent,serpiente
imaginez,Imaginar
excusez,Disculpar
trompé,engañado
cadavre,cadáver
bouton,botón
cancer,cáncer
descend,descender
centaines,cientos
poussière,polvo
piscine,piscina
entraînement,entrenamiento
terminée,acabado
tapis,alfombra
esprits,espíritu
phil,Phil
inviter,invitar
œuvre,trabajar
imagination,imaginación
chut,Cállate
park,parque
existence,existencia
empereur,emperador
décide,decidió
eric,Eric
ascenseur,ascensor
criminel,delincuente
révolution,revolución
principal,importante
terres,tierras
charmante,preciosa
promesse,promesa
période,período
craint,miedo
croyait,creído
courrier,correo
récemment,recientemente
écran,pantalla
anciens,Anticuado
cris,llantos
passes,pases
combattre,combate
réveille,despierta
feront,servirá
élevé,aumentó
têtes,cabezal
souffre,sufrir
quiconque,cualquiera
malheureux,desgraciado
césar,César
arrives,llegada
empêche,deténgase
brisé,roto
garage,garaje
russie,Rusia
Jackson,Jackson
bêtes,ganado
tenter,intentar
excellente,excelente
passent,pasar
ferez,servirá
pub,pub
logique,lógica
version,versión
permet,permitir
parte,parte
temple,templo
section,sección
rythme,el ritmo
propriété,propiedad
étrangers,extranjeros
finis,finalizar
erreurs,errores
feriez,haría
propose,oferta
examen,examen
nation,nación
approchez,Acercarse
différentes,diferente
traduction,traducción
reconnu,Reconocido
cap,gorra
meurtres,asesinatos
courageux,valiente
profiter,beneficiarse de
juré,jurado
miel,Cariño
poil,pelo 
rapports,informes
chic,elegante
fonds,fondos
aimerait,gustaría
sable,arena
lutte,dificil
fière,orgullosa
is,es
japon,Japón
douze,doce
labo,laboratorio
ya,ya
agence,agencia
cependant,sin embargo
indiens,indio
donnera,daré
restent,permanecer
ceinture,cinturón
seins,tetas
étonnant,increíble
uns,alguno
nourrir,alimentar
inventé,inventado
sérieuse,serio
ment,está mintiendo
pratique,práctica
invite,invitado
potes,amigos
meurtrier,asesino
vegas,Vegas
idéal,ideal
maîtresse,amante
central,central
fume,fumar
équipage,tripulación
brillant,brillante
trouvent,encontrar
crie,llamadas salientes
laura,Laura
commission,comisión
nager,nadar
boit,Bebiendo
bombes,bombas
figure,figura
revolver,revólver
crème,crema
rat,rata
tempête,tormenta
refaire,rehacer
née,nacido
supporte,apoyo
crever,morir
conduite,conducta
lci,LCI
brown,marrón
pure,puro
traitement,tratamiento
porté,portón
voyait,veía
cabine,cabina
fuite,filtración
nationale,nacional
estomac,estómago
machines,máquinas
julie,julie
couloir,corredor
emily,Emily
ouah,Guau
bijoux,joyas
lâcher,soltar
acteurs,actores
sentez,sentir
couleurs,colores
naturel,natural
travaillait,estaba trabajando
Wilson,Wilson
incendie,fuego
camarades,camaradas
chute,caída
accompagne,acompañado
passés,pasado
médecins,doctores
revenue,ingresos
peinture,pintar
reconnaître,reconocer
dollar,dólar
coupez,Corte
prénom,primer nombre
puce,chip
pur,puro
prier,rezar
actions,comportamiento
voisin,Vecino
officiers,oficiales
prévenu,prevenido
chaude,caliente
bains,balneario
démon,Demonio
pierres,piedras
miroir,espejo
forcément,necesariamente
lumières,luces
actrice,Actriz
jouait,jugó
vérifie,comprobado
comportement,comportamiento
avoue,confesión
aient,tener
buvez,beber
calmer,calma
amy,Amy
technique,técnico
nôtres,nuestro
obtenu,obtenido
autrefois,en los viejos dias
parlera,hablar a
Ryan,Ryan
boss,jefe
parier,apostar
correct,correcto
septembre,septiembre
libres,libre
affronter,confrontar
doué,dotado
appellent,llamar
repose,reposo
conditions,términos
parfum,aroma
protège,protegido
tasse,taza
pensée,pensamiento
salaire,salario
bagnole,coche
infos,información
jolies,bonita
récompense,premio
kim,Kim
essayons,intentemos
ordinaire,común
jeunesse,juventud
musée,museo
bébés,bebés
chuck,arrojar
plaisantes,agradable
absence,ausencia
aiors,Aiors
échappé,Escapar
fausse,falso
jury,jurado
étudiants,estudiantes
approcher,acercar
espagne,España
aprés,después
blonde,pelo rubio
condition,condición
race,raza
vend,vender
absurde,absurdo
masque,mascarilla
appellerai,llamará
pardonner,perdonar
pouvoirs,potestades
laissée,izquierda
annoncer,anunciar
origine,origen
el,El
apprends,aprender
poitrine,cofre
tape,cinta
remis,descartado
couvert,cubierto
large,amplio
prenons,echemos
pressé,prensa
nu,desnudo
loup,lobo
urgent,urgente
attente,esperando
bêtises,bufonadas
appels,llamadas
mystère,misterio
travailles,trabajar
vélo,bicicleta
vends,vender
armé,armado
réaction,reacción
flotte,flota
bleue,azul
foot,fútbol
foutez,charla
virus,virus
oeufs,huevos
élève,alumno
daniel,Daniel
êtres,seres
vengeance,venganza
stan,stan
essayais,intentó
minable,en mal estado
cérémonie,ceremonia
gordon,Gordon
uniquement,unicamente
salauds,bastardo
alan,alan
froide,frío
helen,helen
portée,alcance
disque,disco
attaqué,ofensivo
résoudre,resolver
moche,feo
scientifique,científico
colle,pegamento
lady,dama
maximum,máximo
déclaration,declaración
installer,Instalar en pc
blessés,herido
effort,esfuerzo
iras,Iras
commandement,mandamiento
panne,desglose
visiter,visitar
disiez,decir
venais,vino
pointe,punto
moque,burlón
chambres,habitaciones
convaincu,convencido
raisonnable,dentro de lo razonable
aiiez,Aiiz
rencontrés,reunió
qualité,calidad
aimée,amado
irait,iría
épousé,casar
attitude,actitud
joseph,Joseph
esclave,esclavo
milliards,mil millones
guide,guía
oeuvre,trabajar
humour,humor
bible,Biblia
boule,pelota 
sacs,bolsas
avocats,abogados
yo,yo
meurent,morir
connaissait,supo
union,Unión
ex,ex
sally,salida
blesser,herir
taylor,Taylor
maggie,Maggie
perdus,perdió
malades,enfermo
jungle,selva
jugement,juicio
essai,ensayo
écrivain,escritor
digne,valioso
survécu,sobrevivió
julia,Julia
vérifié,comprobado
linda,linda
brûlé,quemado
noble,noble
sauté,saltó
gâcher,estropear
inquiet,preocupado
enterrement,entierro
prenne,tomar
site,sitio
engager,comprometerse
rayon,Rayo
traîner,pasar el rato
rang,rango
traître,traidor
berlin,Berlina
parlant,discurso
orange,naranja
jenny,Jenny
voudras,querrá
sentais,Eperlano
bourse,bolsa
élèves,alumnos
manques,brecha
faisaient,estaban haciendo
partage,compartir 
légende,leyenda
cave,cava
voleurs,ladrones
fruits,frutas
préviens,advertir
connaissent,saber
venant,de
policiers,policía
paire,par
pommes,manzana
meilleures,mejor
cassette,casete
sommet,pico de la montaña
remplacer,reemplazar
objets,objetos
idiots,idiotas
cage,jaula
saurais,sería
limite,límite
ailes,alas
explication,explicación
ô,""""
bond,salto
floride,Florida
travaillez,Trabajar
carter,alojamiento
conseiller,consejero
portait,vistió
condamné,sentenciado
voyant,viendo
recule,recisos
bénisse,bendecir
associé,asociado
auteur,autor
écouté,escuchar
sorcière,bruja
edward,Eduardo
livrer,entregar
plainte,queja
réellement,Realmente
albert,Albert
adulte,adulto
pile,montón
communauté,comunidad
mandat,mandato
éducation,educación
ramené,devuelvelas
réponses,respuestas
bagarre,lucha
escalier,escalera
naturellement,naturalmente
désire,Anhelado
lignes,líneas
incident,incidente
kilos,libras
rats,ratas
quinze,quince
parties,partes
véhicule,vehículo
wayne,Wayne
chasser,cazar
bottes,botas
objectif,objetivo
patients,pacientes
suivante,"siguiente, próximo"
respecte,respeto
attrapé,capturado
junior,júnior
colline,Cerro
professionnel,profesional
devoirs,tareas para el hogar
conseils,puntas
effets,efectos
fichu,oscuro
blessure,herida
messages,mensajes
baby,bebé
crimes,crímenes
moscou,Moscú
villes,ciudades
voudra,querrá
moto,moto
domaine,dominio
organisation,organización
aimable,amigable
forts,fuerte
eue,eue
exercice,ejercicio
voyager,viajar
arrestation,arrestar
fasses,hacer
pizza,pizza
barbe,barba
french,francés
dossiers,archivos
tunnel,túnel
voudrez,querrá
arrivait,se acercaba
roses,rosas
amiral,almirante
cabinet,gabinete
mére,madre
poursuivre,para perseguir
forcé,fuerza
huile,aceite
grosses,grande
ranger,Guardar
furieux,furioso
vivait,vivió
aidera,ayudará
géant,gigante
tim,Tim
tours,torres
retire,tomo de
vote,votar
autorisation,permiso
risqué,riesgo
hitler,Hitler
rond,redondo
show,mostrar
territoire,territorio
venger,venganza
exprès,a propósito
tuerai,Asesinará
anges,ángeles
classique,clásico
soutien,apoyo
rentres,devolver
tokyo,Tokio
proposition,propuesta
love,amor
tests,pruebas
pétrole,aceite
réaliser,lograr
sortira,va a salir
soirs,tardes
ministère,ministerio
magazine,revista
verres,lentes
échec,falla
vieilles,antiguo
pourrions,pudo
bol,cuenco
plaire,para complacer
miller,molinero
respecter,respetar
cons,contras
golf,golf
bibliothèque,biblioteca
attirer,atraer
drapeau,bandera
possède,poseer
production,producción
conférence,conferencia
efforts,esfuerzos
pere,papá
putains,putas
précieux,precioso
religion,religión
rêver,sueño
épreuve,prueba
retenir,recordar
football,fútbol
Frankie,Frankie
échoué,ha fallado
pisser,orinar
Barry,Barry
sortes,algo así como
circonstances,circunstancias
kong,kong
mignonne,linda
excellence,Excelencia
auto,coche
do,hacer
vague,impreciso
arrêtes,parada
nôtre,nuestro
vallée,Valle
Morgan,Morgan
enterré,enterrado
tandis,tiempo
duc,duque
pêre,papá
assassiné,asesinado
ooo,ooo
charme,encanto
quart,un quarto
arrangé,organizado
guitare,guitarra
remplir,llenar
Sophie,Sophie
crève,zumbador
Jesse,Jesse
Bruce,Bruce
Sara,Sara
refuser,rechazar
donnent,dar
Luke,Luque
taper,pegar
critique,crítico
secrète,secreto
terminer,para terminar
hauteur,altura
comédie,comedia
cimetière,cementerio
baisé,follado
cardiaque,corazón
Catherine,Catherine
chiffres,cifras
fêter,celebrar
trouverez,encontrará
indien,indio
altesse,Alteza
occupée,ocupado
intelligente,inteligente
culture,cultura
deviner,adivinar
géniale,brillante
limites,límites
Nancy,Nancy
précis,preciso
éternité,eternidad
ball,pelota
plateau,meseta
prises,tomado
viendrai,vendrá
rempli,terminado
clairement,claramente
intérêts,intereses
langage,discurso
aides,ayuda
feux,incendios
Betty,Betty
copie,Copiar
profondément,profundamente
fâché,enfadado
incapable,incapaz
mercredi,miércoles
souffrance,sufrimiento
avouer,confesar
mile,milla
posez,Lugar
lion,león
ali,Ali
soigner,cuidar
fenêtres,Windows
pue,maloliente
électrique,eléctrico
italien,italiano
traversé,cruzado
réception,recepción
énerve,cabreado
rentrons,Volvamos
couvrir,cubrir
fonce,oscuro
Harvey,Harvey
Kyle,Kyle
produits,productos
loyer,renta
grace,gracia
bleus,azul
assistant,asistente
cervelle,cerebro
trente,treinta
yeah,sí
saches,saber
national,nacional
avenue,Avenida
evidemment,obviamente
reçois,recibir
cité,citado
liaison,fianza
prouve,demostrar
collier,collar
aprês,después
séance,sesión
placard,alacena
criminels,criminales
irais,Vamos
riz,arroz
sandwich,emparedado
boston,Bostón
parlerai,hablará
places,lugares
stade,estadio
gagnant,ganador
moral,moral
tendre,tierno
fleuve,Río
mêre,madre
stanley,Stanley
trouvait,fundar
auparavant,previamente
personnellement,personalmente
fièvre,fiebre
champs,campos
tuera,Asesinará
chatte,gato
actes,hechos
restait,se mantuvo
amant,amante
concernant,re
las,el as
ferons,servirá
cherchent,ellos buscan
tenait,sujetaba
exécution,ejecución
ann,Ana
lou,Lou
pédé,maricón
prière,rezar
hélas,Pobre de mí
sortent,salga
bateaux,barcos
allaient,iban
durer,durar
assise,sentado
alarme,alarma
commencez,comienzo
furent,fueron
prenait,tomando
brad,puntilla
entièrement,enteramente
médecine,medicamento
juillet,julio
sortis,afuera
sensible,sensible
poudre,polvo
finale,final
plais,agradable
durs,difícil
discussion,discusión
séparer,separar
esclaves,esclavos
instructions,instrucciones
beurre,manteca
documents,documentos
taré,tara
rick,almiar
détail,detalle
baron,barón
mettent,poner
congrès,Congreso
épaule,hombro
poison,veneno
final,final
métro,subterraneo
attendrai,esperará
serment,juramento
chan,chan
pardonne,perdonado
espagnol,español
supérieur,superior
w,W
degrés,grados
rires,la risa
west,Oeste
parker,parker
tuez,matar
œufs,huevos
fiancé,prometido
nerfs,nervios
portefeuille,cartera
robot,robot
internet,Internet
expert,experto
hank,madeja
surveillance,vigilancia
foutue,jodido
rita,rita
réalisateur,director
entraîner,entrenar
martha,Martha
descendu,descendido
patrick,Patricio
comté,condado
congé,abandonar
finira,terminará
caméras,cámaras
sauce,salsa
balance,balance
destruction,destrucción
moderne,moderno
Carlos,Carlos
extrêmement,extremadamente
âmes,almas
expression,expresión
marchera,caminará
commerce,comercio
ivre,ebrio
salopard,bastardo
appétit,apetito
dette,deuda
all,todos
promener,pasear
employés,empleados
admettre,admitir
producteur,productor
attendons,esperemos
quittez,abandonar
brise,roto
wow,guau
juin,Junio
chats,gatos
remets,volver
ajouter,Para agregar
couler,fluir
Pasteur,Pastor
alliez,combinar
portrait,retrato
heu,uu
by,por
lancé,lanza
diamants,diamantes
donnée,dado
avantage,ventaja
fidèle,fiel
juger,juez
renseignements,información
gang,pandilla
loué,alquilado
réseau,la red
ouverture,apertura
travaux,obras
poussé,empujado
division,división
invitation,invitación
repartir,dividir
trous,agujeros
rappelez,recuerdo
totale,total
solide,sólido
réservé,Reservar
Willie,Willie
autorité,autoridad
fermée,cerrado
munitions,munición
neveu,sobrino
diras,diría
téléphoner,llamar
briser,romper
siècles,siglos
nerveuse,nervioso
bonbons,caramelos
blé,trigo
pourri,podrido
puits,pozos
fantômes,fantasmas
termine,Terminado
monstres,monstruos
écraser,aplastar
espérons,esperar
bétail,ganado
miens,mía
changera,cambiará
adultes,adulto
restée,se mantuvo
total,total
fierté,orgullo
pari,apuesta
sein,seno
cessez,deténgase
Elizabeth,Elizabeth
